1단계,2단계,격자 X,격자 Y,경도(초/100),위도(초/100)
서울특별시,,60,127,126.98000833333333,37.56356944444444
서울특별시,종로구,60,127,126.98164166666668,37.57037777777778
서울특별시,중구,60,127,126.99964166666666,37.56100277777777
서울특별시,용산구,60,126,126.96752222222223,37.536094444444444
서울특별시,성동구,61,127,127.039,37.56061111111111
서울특별시,광진구,62,126,127.08453333333333,37.535738888888886
서울특별시,동대문구,61,127,127.04214166666667,37.571625000000004
서울특별시,중랑구,62,128,127.09477777777778,37.60380555555556
서울특별시,성북구,61,127,127.02033333333333,37.58638333333334
서울특별시,강북구,61,128,127.02771944444444,37.63695555555555
서울특별시,도봉구,61,129,127.04952222222222,37.66583333333333
서울특별시,노원구,61,129,127.05838888888889,37.65146111111111
서울특별시,은평구,59,127,126.93124166666666,37.59996944444445
서울특별시,서대문구,59,127,126.93889722222222,37.57636666666667
서울특별시,마포구,59,127,126.91053055555557,37.56070555555555
서울특별시,양천구,58,126,126.86870833333333,37.51423055555556
서울특별시,강서구,58,126,126.851675,37.54815555555555
서울특별시,구로구,58,125,126.88959722222224,37.49265
서울특별시,금천구,59,124,126.90419722222222,37.44910833333333
서울특별시,영등포구,58,126,126.89834166666667,37.52361111111111
서울특별시,동작구,59,125,126.941575,37.509655555555554
서울특별시,관악구,59,125,126.95384444444444,37.47538611111111
서울특별시,서초구,61,125,127.03481111111111,37.480786111111115
서울특별시,강남구,61,126,127.04955555555556,37.514575
서울특별시,송파구,62,126,127.10793055555555,37.51175555555555
서울특별시,강동구,62,126,127.12586388888889,37.527366666666666
부산광역시,,98,76,129.07695277777776,35.17701944444444
부산광역시,중구,97,74,129.03450833333332,35.10321666666667
부산광역시,서구,97,74,129.02637777777778,35.094836111111114
부산광역시,동구,98,75,129.059175,35.135894444444446
부산광역시,영도구,98,74,129.0701861111111,35.08811666666667
부산광역시,부산진구,97,75,129.05531944444445,35.159952777777775
부산광역시,동래구,98,76,129.08585555555555,35.20187222222223
부산광역시,남구,98,75,129.0865,35.133408333333335
부산광역시,북구,96,76,128.99247499999998,35.194180555555555
부산광역시,해운대구,99,75,129.16580833333333,35.160019444444444
부산광역시,사하구,96,74,128.97704166666668,35.10142777777778
부산광역시,금정구,98,77,129.09431944444447,35.24007777777778
부산광역시,강서구,96,76,128.98290833333334,35.209163888888895
부산광역시,연제구,98,76,129.082075,35.17318611111111
부산광역시,수영구,99,75,129.115375,35.142466666666664
부산광역시,사상구,96,75,128.9933333333333,35.14946666666667
부산광역시,기장군,100,77,129.224475,35.241350000000004
대구광역시,,89,90,128.60355277777776,35.868541666666665
대구광역시,중구,89,90,128.6083972222222,35.866286111111116
대구광역시,동구,90,91,128.63771111111112,35.88361666666667
대구광역시,서구,88,90,128.5614111111111,35.86879444444445
대구광역시,남구,89,90,128.59980000000002,35.84297777777778
대구광역시,북구,89,91,128.58502222222222,35.8827
대구광역시,수성구,89,90,128.63286666666667,35.85520833333334
대구광역시,달서구,88,90,128.53506388888889,35.82692777777778
대구광역시,달성군,86,88,128.43327499999998,35.771680555555555
인천광역시,,55,124,126.70735277777779,37.45323333333334
인천광역시,중구,54,125,126.62356666666666,37.470933333333335
인천광역시,동구,54,125,126.64536666666667,37.47103611111111
인천광역시,미추홀구,54,124,126.65268611111112,37.460680555555555
인천광역시,연수구,55,123,126.68044166666667,37.40712222222222
인천광역시,남동구,56,124,126.73379722222222,37.44451944444444
인천광역시,부평구,55,125,126.7241,37.504266666666666
인천광역시,계양구,56,126,126.73975277777778,37.53479166666666
인천광역시,서구,55,126,126.6782,37.54269166666666
인천광역시,강화군,51,130,126.49,37.743858333333336
인천광역시,옹진군,54,124,126.6388888888889,37.44372499999999
광주광역시,,58,74,126.85336388888888,35.156974999999996
광주광역시,동구,60,74,126.92517777777778,35.1431
광주광역시,서구,59,74,126.89341111111112,35.149483333333336
광주광역시,남구,59,73,126.91014444444446,35.119036111111114
광주광역시,북구,59,75,126.91412222222223,35.171124999999996
광주광역시,광산구,57,74,126.7957888888889,35.136427777777776
대전광역시,,67,100,127.38656666666667,36.347119444444445
대전광역시,동구,68,100,127.43485277777778,36.324133333333336
대전광역시,중구,68,100,127.42311111111111,36.322630555555556
대전광역시,서구,67,100,127.38577500000001,36.35248333333333
대전광역시,유성구,67,101,127.35834166666666,36.359366666666666
대전광역시,대덕구,68,100,127.41768611111111,36.34379444444445
울산광역시,,102,84,129.3136888888889,35.53540833333333
울산광역시,중구,102,84,129.334875,35.566341666666666
울산광역시,남구,102,84,129.3323861111111,35.54076388888889
울산광역시,동구,104,83,129.41895277777778,35.50188888888889
울산광역시,북구,103,85,129.36354444444444,35.57968888888889
울산광역시,울주군,101,84,129.2971638888889,35.53073888888889
세종특별자치시,,66,103,127.2890691,36.4800121
세종특별자치시,세종특별자치시,66,103,127.2890691,36.4800121
경기도,,60,120,127.01168888888888,37.27184444444444
경기도,수원시장안구,60,121,127.01222222222222,37.30101111111111
경기도,수원시권선구,60,120,126.974075,37.254733333333334
경기도,수원시팔달구,61,121,127.03783333333332,37.28310277777778
경기도,수원시영통구,61,120,127.04863333333333,37.25631111111111
경기도,성남시수정구,63,124,127.14771944444445,37.447491666666664
경기도,성남시중원구,63,124,127.13941944444446,37.42766944444444
경기도,성남시분당구,62,123,127.12101944444444,37.37996944444445
경기도,의정부시,61,130,127.03584166666667,37.73528888888889
경기도,안양시만안구,59,123,126.9345,37.38377777777778
경기도,안양시동안구,59,123,126.95335555555556,37.3897
경기도,부천시,56,125,126.766,37.5035917
경기도,광명시,58,125,126.86670833333332,37.475750000000005
경기도,평택시,62,114,127.11465555555554,36.98943888888889
경기도,동두천시,61,134,127.06265277777777,37.90091666666667
경기도,안산시상록구,58,121,126.84681944444444,37.298519444444445
경기도,안산시단원구,57,121,126.81441944444444,37.31672777777778
경기도,고양시덕양구,57,128,126.83419722222222,37.63458333333333
경기도,고양시일산동구,56,129,126.77705555555555,37.65590833333333
경기도,고양시일산서구,56,129,126.75277777777778,37.672486111111105
경기도,과천시,60,124,126.9898,37.42637222222222
경기도,구리시,62,127,127.13186388888889,37.591625
경기도,남양주시,64,128,127.21863333333333,37.63317777777778
경기도,오산시,62,118,127.07964166666666,37.14691388888889
경기도,시흥시,57,123,126.80507777777777,37.377319444444446
경기도,군포시,59,122,126.9375,37.35865833333334
경기도,의왕시,60,122,126.97038888888889,37.341950000000004
경기도,하남시,64,126,127.217,37.53649722222222
경기도,용인시처인구,64,119,127.20384444444444,37.231477777777776
경기도,용인시기흥구,62,120,127.11678888888888,37.27759722222222
경기도,용인시수지구,62,121,127.10009722222222,37.319386111111115
경기도,파주시,56,131,126.78195277777778,37.757083333333334
경기도,이천시,68,121,127.44321944444445,37.27543611111111
경기도,안성시,65,115,127.28184444444445,37.005175
경기도,김포시,55,128,126.71777777777778,37.612458333333336
경기도,화성시,57,119,126.83353055555555,37.19681666666666
경기도,광주시,65,123,127.25778611111112,37.41450555555556
경기도,양주시,61,131,127.04781944444444,37.78245
경기도,포천시,64,134,127.20241944444444,37.892155555555554
경기도,여주시,71,121,127.639622222222,37.29535833333333
경기도,연천군,61,138,127.07706666666667,38.09336388888889
경기도,가평군,69,133,127.51177777777778,37.82883055555556
경기도,양평군,69,125,127.48988611111112,37.48893611111111
강원도,,73,134,127.731975,37.882691666666666
강원도,춘천시,73,134,127.73231111111112,37.87854166666667
강원도,원주시,76,122,127.92205555555556,37.339083333333335
강원도,강릉시,92,131,128.87849722222222,37.74913611111111
강원도,동해시,97,127,129.11663333333334,37.52193055555556
강원도,태백시,95,119,128.98799722222222,37.161227777777775
강원도,속초시,87,141,128.59416666666667,38.204275
강원도,삼척시,98,125,129.16748888888887,37.447086111111105
강원도,홍천군,75,130,127.89084166666667,37.69442222222222
강원도,횡성군,77,125,127.98722222222223,37.488958333333336
강원도,영월군,86,119,128.46401944444443,37.180861111111106
강원도,평창군,84,123,128.39235277777777,37.367916666666666
강원도,정선군,89,123,128.6630861111111,37.377808333333334
강원도,철원군,65,139,127.31573333333333,38.14405555555555
강원도,화천군,72,139,127.71035555555555,38.103408333333334
강원도,양구군,77,139,127.99224444444445,38.10729166666667
강원도,인제군,80,138,128.1726972222222,38.066972222222226
강원도,고성군,85,145,128.4701638888889,38.37796111111111
강원도,양양군,88,138,128.62135555555557,38.072833333333335
충청북도,,69,107,127.49358611111111,36.6325
충청북도,청주시상당구,69,106,127.51173055555556,36.58399722222222
충청북도,청주시서원구,69,107,127.4832888888889,36.63726111111111
충청북도,청주시흥덕구,67,106,127.35941944444444,36.6182
충청북도,청주시청원구,69,107,127.48766388888889,36.644305555555555
충청북도,충주시,76,114,127.92814444444446,36.98818055555556
충청북도,제천시,81,118,128.19315277777778,37.12976944444444
충청북도,보은군,73,103,127.73160833333334,36.486533333333334
충청북도,옥천군,71,99,127.57363333333333,36.303549999999994
충청북도,영동군,74,97,127.78561111111111,36.17205833333333
충청북도,증평군,71,110,127.58328888888889,36.782180555555556
충청북도,진천군,68,111,127.43764444444444,36.85253888888889
충청북도,괴산군,74,111,127.78883055555555,36.81243055555555
충청북도,음성군,72,113,127.69262222222223,36.93740555555555
충청북도,단양군,84,115,128.36784166666666,36.98178055555556
충청남도,,68,100,127.42295555555556,36.32387222222223
충청남도,천안시동남구,63,110,127.15246666666667,36.804125
충청남도,천안시서북구,63,112,127.15719722222222,36.87555833333333
충청남도,공주시,63,102,127.12111944444443,36.44361388888888
충청남도,보령시,54,100,126.6148861111111,36.330575
충청남도,아산시,60,110,127.00464166666667,36.787105555555556
충청남도,서산시,51,110,126.45216388888889,36.78209722222222
충청남도,논산시,62,97,127.1009111111111,36.18420277777778
충청남도,계룡시,65,99,127.25093055555556,36.271836111111114
충청남도,당진시,54,112,126.63025277777777,36.89075
충청남도,금산군,69,95,127.49030833333333,36.105869444444444
충청남도,부여군,59,99,126.91186388888889,36.272822222222224
충청남도,서천군,55,94,126.69388888888889,36.07740555555556
충청남도,청양군,57,103,126.80425555555556,36.456269444444445
충청남도,홍성군,55,106,126.66290833333333,36.59836111111111
충청남도,예산군,58,107,126.85087499999999,36.679805555555554
충청남도,태안군,48,109,126.299975,36.742666666666665
전라북도,,63,89,127.11105277777777,35.817275
전라북도,전주시완산구,63,89,127.12191944444444,35.80918888888888
전라북도,전주시덕진구,63,89,127.13641944444446,35.82638611111111
전라북도,군산시,56,92,126.73884444444444,35.96464166666667
전라북도,익산시,60,91,126.95985277777778,35.945274999999995
전라북도,정읍시,58,83,126.8581111111111,35.56687222222222
전라북도,남원시,68,80,127.39250000000001,35.41325555555555
전라북도,김제시,59,88,126.88275277777777,35.800574999999995
전라북도,완주군,63,89,127.14959722222223,35.84296944444445
전라북도,진안군,68,88,127.42696666666667,35.788719444444446
전라북도,무주군,72,93,127.66286666666667,36.00382777777778
전라북도,장수군,70,85,127.5233,35.64429722222222
전라북도,임실군,66,84,127.28475277777778,35.60806388888889
전라북도,순창군,63,79,127.13963055555556,35.37138888888889
전라북도,고창군,56,80,126.70410833333334,35.432738888888885
전라북도,부안군,56,87,126.73567777777778,35.72853333333334
전라남도,,51,67,126.465,34.813044444444444
전라남도,목포시,50,67,126.39441944444445,34.808788888888884
전라남도,여수시,73,66,127.66438611111111,34.757311111111115
전라남도,순천시,70,70,127.48933055555555,34.947605555555555
전라남도,나주시,56,71,126.71286666666667,35.012838888888886
전라남도,광양시,73,70,127.69817777777779,34.93753611111111
전라남도,담양군,61,78,126.99016388888889,35.318125
전라남도,곡성군,66,77,127.29410833333333,35.278955555555555
전라남도,구례군,69,75,127.46493333333333,35.19945833333333
전라남도,고흥군,66,62,127.28705555555555,34.608069444444446
전라남도,보성군,62,66,127.08208888888889,34.76833333333333
전라남도,화순군,61,72,126.98856666666667,35.061480555555555
전라남도,장흥군,59,64,126.90910833333334,34.678525
전라남도,강진군,57,63,126.76919722222222,34.63891111111111
전라남도,해남군,54,61,126.60128888888889,34.570436111111114
전라남도,영암군,56,66,126.69861944444445,34.79698888888889
전라남도,무안군,52,71,126.4837,34.98736944444445
전라남도,함평군,52,72,126.51861944444444,35.06274444444444
전라남도,영광군,52,77,126.51408611111111,35.274166666666666
전라남도,장성군,57,77,126.786975,35.29881111111111
전라남도,완도군,57,56,126.75709722222223,34.307852777777775
전라남도,진도군,48,59,126.26554444444444,34.48375
전라남도,신안군,50,66,126.38173055555555,34.789811111111106
경상북도,,89,91,128.60276666666667,35.889605555555555
경상북도,포항시남구,102,94,129.36166666666665,36.00568611111111
경상북도,포항시북구,102,95,129.36790833333333,36.03885
경상북도,경주시,100,91,129.22702222222222,35.85316944444445
경상북도,김천시,80,96,128.1158,36.136897222222224
경상북도,안동시,91,106,128.73162222222223,36.565463888888885
경상북도,구미시,84,96,128.3467777777778,36.116550000000004
경상북도,영주시,89,111,128.62634444444444,36.80293611111111
경상북도,영천시,95,93,128.940775,35.97005277777778
경상북도,상주시,81,102,128.1612638888889,36.40796944444444
경상북도,문경시,81,106,128.18901944444445,36.58363055555556
경상북도,경산시,91,90,128.74346388888887,35.82208888888889
경상북도,군위군,88,99,128.57507777777778,36.23999722222222
경상북도,의성군,90,101,128.69936388888888,36.349758333333334
경상북도,청송군,96,103,129.0594,36.43329166666666
경상북도,영양군,97,108,129.1146222222222,36.664274999999996
경상북도,영덕군,102,103,129.36835555555555,36.412102777777775
경상북도,청도군,91,86,128.7362,35.64431111111111
경상북도,고령군,83,87,128.26502222222223,35.72298611111111
경상북도,성주군,83,91,128.28515277777777,35.91621111111111
경상북도,칠곡군,85,93,128.40379722222224,35.99254722222222
경상북도,예천군,86,107,128.4550222222222,36.65495
경상북도,봉화군,90,113,128.734875,36.89026111111111
경상북도,울진군,102,115,129.4027861111111,36.990186111111115
경상북도,울릉군,127,127,130.9037888888889,37.480575
경상남도,,91,77,128.69416666666666,35.23473611111111
경상남도,창원시의창구,90,77,128.6401544,35.2540033
경상남도,창원시성산구,91,76,128.7029401,35.1983844
경상남도,창원시마산합포구,89,76,128.567863,35.196874
경상남도,창원시마산회원구,89,76,128.579706,35.220932
경상남도,창원시진해구,91,75,128.710081,35.13306
경상남도,진주시,81,75,128.10999999999999,35.177033333333334
경상남도,통영시,87,68,128.43527777777777,34.851258333333334
경상남도,사천시,80,71,128.0667777777778,35.000283333333336
경상남도,김해시,95,77,128.89166666666665,35.22550555555556
경상남도,밀양시,92,83,128.74894444444442,35.50077777777778
경상남도,거제시,90,69,128.62335555555558,34.87735833333333
경상남도,양산시,97,79,129.03941111111112,35.33192777777778
경상남도,의령군,83,78,128.26382222222222,35.319119444444446
경상남도,함안군,86,77,128.40870833333335,35.26940555555556
경상남도,창녕군,87,83,128.49453333333332,35.54153611111111
경상남도,고성군,85,71,128.32454166666668,34.9699
경상남도,남해군,77,68,127.89446666666667,34.834558333333334
경상남도,하동군,74,73,127.75343055555555,35.06420277777777
경상남도,산청군,76,80,127.87561944444444,35.41249166666667
경상남도,함양군,74,82,127.72741944444445,35.517469444444444
경상남도,거창군,77,86,127.91165555555555,35.683625
경상남도,합천군,81,84,128.16793055555556,35.56361666666666
제주특별자치도,,52,38,126.50033333333333,33.48569444444445
제주특별자치도,제주시,53,38,126.53320833333333,33.49631111111111
제주특별자치도,서귀포시,52,33,126.51255555555555,33.25235