regionName,regionCode,city
백령도,11A00101,인천
서울,11B10101,서울
과천,11B10102,경기남부
광명,11B10103,경기남부
강화,11B20101,인천
김포,11B20102,경기남부
인천,11B20201,인천
시흥,11B20202,경기남부
안산,11B20203,경기남부
부천,11B20204,경기남부
의정부,11B20301,경기북부
고양,11B20302,경기북부
양주,11B20304,경기북부
파주,11B20305,경기북부
동두천,11B20401,경기북부
연천,11B20402,경기북부
포천,11B20403,경기북부
가평,11B20404,경기북부
구리,11B20501,경기북부
남양주,11B20502,경기북부
양평,11B20503,경기남부
하남,11B20504,경기남부
수원,11B20601,경기남부
안양,11B20602,경기남부
오산,11B20603,경기남부
화성,11B20604,경기남부
성남,11B20605,경기남부
평택,11B20606,경기남부
의왕,11B20609,경기남부
군포,11B20610,경기남부
안성,11B20611,경기남부
용인,11B20612,경기남부
이천,11B20701,경기남부
광주,11B20702,경기남부
여주,11B20703,경기남부
충주,11C10101,충북
진천,11C10102,충북
음성,11C10103,충북
제천,11C10201,충북
단양,11C10202,충북
청주,11C10301,충북
보은,11C10302,충북
괴산,11C10303,충북
증평,11C10304,충북
추풍령,11C10401,충북
영동,11C10402,충북
옥천,11C10403,충북
서산,11C20101,충남
태안,11C20102,충남
당진,11C20103,충남
홍성,11C20104,충남
보령,11C20201,충남
서천,11C20202,충남
천안,11C20301,충남
아산,11C20302,충남
예산,11C20303,충남
대전,11C20401,대전
공주,11C20402,충남
계룡,11C20403,충남
세종,11C20404,세종
부여,11C20501,충남
청양,11C20502,충남
금산,11C20601,충남
논산,11C20602,충남
철원,11D10101,강원영서
화천,11D10102,강원영서
인제,11D10201,강원영서
양구,11D10202,강원영서
춘천,11D10301,강원영서
홍천,11D10302,강원영서
원주,11D10401,강원영서
횡성,11D10402,강원영서
영월,11D10501,강원영서
정선,11D10502,강원영서
평창,11D10503,강원영서
대관령,11D20201,강원영동
태백,11D20301,강원영동
속초,11D20401,강원영동
고성,11D20402,강원영동
양양,11D20403,강원영동
강릉,11D20501,강원영동
동해,11D20601,강원영동
삼척,11D20602,강원영동
울릉도,1.10E+102,울릉도
독도,1.10E+103,독도
전주,11F10201,전북
익산,11F10202,전북
정읍,11F10203,전북
완주,11F10204,전북
장수,11F10301,전북
무주,11F10302,전북
진안,11F10303,전북
남원,11F10401,전북
임실,11F10402,전북
순창,11F10403,전북
군산,21F10501,전북
김제,21F10502,전북
고창,21F10601,전북
부안,21F10602,전북
함평,21F20101,전남
영광,21F20102,전남
진도,21F20201,전남
완도,11F20301,전남
해남,11F20302,전남
강진,11F20303,전남
장흥,11F20304,전남
여수,11F20401,전남
광양,11F20402,전남
고흥,11F20403,전남
보성,11F20404,전남
순천시,11F20405,전남
광주,11F20501,전남
장성,11F20502,전남
나주,11F20503,전남
담양,11F20504,전남
화순,11F20505,전남
구례,11F20601,전남
곡성,11F20602,전남
순천,11F20603,전남
흑산도,11F20701,전남
목포,21F20801,전남
영암,21F20802,전남
신안,21F20803,전남
무안,21F20804,전남
성산,11G00101,제주
제주,11G00201,제주
성판악,11G00302,제주
서귀포,11G00401,제주
고산,11G00501,제주
이어도,11G00601,제주
추자도,11G00800,제주
울진,11H10101,경북
영덕,11H10102,경북
포항,11H10201,경북
경주,11H10202,경북
문경,11H10301,경북
상주,11H10302,경북
예천,11H10303,경북
영주,11H10401,경북
봉화,11H10402,경북
영양,11H10403,경북
안동,11H10501,경북
의성,11H10502,경북
청송,11H10503,경북
김천,11H10601,경북
구미,11H10602,경북
군위,11H10603,경북
고령,11H10604,경북
성주,11H10605,경북
대구,11H10701,대구
영천,11H10702,경북
경산,11H10703,경북
청도,11H10704,경북
칠곡,11H10705,경북
울산,11H20101,울산
양산,11H20102,경남
부산,11H20201,부산
창원,11H20301,경남
김해,11H20304,경남
통영,11H20401,경남
사천,11H20402,경남
거제,11H20403,경남
고성,11H20404,경남
남해,11H20405,경남
함양,11H20501,경남
거창,11H20502,경남
합천,11H20503,경남
밀양,11H20601,경남
의령,11H20602,경남
함안,11H20603,경남
창녕,11H20604,경남
진주,11H20701,경남
산청,11H20703,경남
하동,11H20704,경남